,Quarter,Q1,,,,,,,,,,,,,Q2,,,,,,,,,,,,,Q3,,,,,,,,,,,,,Q4,,,,,,,,,,,,
,Bonner,0,6,0,1,2,0,2,9,10,7,6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Casey ,0,4,0,0,9,3,2,13,6,11,27,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Crace,0,5,0,0,4,0,0,12,3,1,8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Forde,0,8,0,0,0,0,0,6,1,6,6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Franklin,0,7,0,0,10,0,3,15,15,31,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gungahlin,0,35,2,0,10,0,9,36,62,44,91,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hall,0,2,0,0,3,0,1,1,2,2,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Harrison,0,1,0,0,15,0,2,15,14,34,24,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jacka,0,0,0,0,1,0,0,3,2,1,6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kenny,0,0,0,0,0,0,0,0,1,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kinlyside,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mitchell,0,0,1,1,4,1,1,6,29,80,11,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Moncrieff,0,3,0,0,2,0,0,0,5,9,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ngunnawal,0,12,4,1,8,1,1,14,25,5,21,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nicholls,0,5,4,0,6,1,1,14,15,18,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Palmerston,0,3,1,0,3,0,2,21,15,17,12,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Taylor,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Throsby,0,0,0,0,0,0,0,2,0,6,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Canberra,,0,191,27,20,146,9,81,293,637,767,551,0,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Acton,0,1,0,0,2,0,2,21,17,63,30,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ainslie,0,9,0,0,20,0,3,18,22,21,35,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Black Mountain,0,0,0,0,0,0,0,0,0,9,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Braddon,0,19,0,3,11,0,9,38,38,61,52,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Campbell,0,3,1,0,10,0,1,17,14,20,13,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,City,0,112,21,8,7,5,13,59,320,214,162,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dickson,0,7,0,0,22,1,7,16,30,71,45,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Downer,0,5,1,0,3,1,0,8,6,2,8,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Duntroon,0,0,0,0,0,0,0,0,0,6,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hackett,0,0,1,0,8,0,8,12,23,3,25,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lyneham,0,9,0,1,13,0,8,20,42,74,63,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Majura,0,0,0,0,0,0,0,3,8,34,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O'Connor,0,4,2,1,15,0,9,7,27,55,30,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Parkes,0,2,1,1,0,0,0,8,15,10,7,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Reid,0,7,0,1,14,2,6,23,45,30,35,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Russell,0,0,0,0,0,0,0,0,2,19,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Turner,0,5,0,1,10,0,5,18,8,35,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Watson,0,8,0,4,11,0,10,25,20,40,25,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Canberra,,0,45,5,8,92,6,52,170,218,215,279,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Barton,0,3,0,1,3,0,1,8,15,15,10,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Beard,0,0,0,0,1,0,2,0,0,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capital Hill,0,0,0,0,0,0,0,0,3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Deakin,0,5,0,0,8,0,1,21,14,24,27,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Forrest,0,0,0,0,5,0,0,1,7,5,11,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fyshwick,0,5,0,0,17,2,16,25,51,73,54,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Griffith,0,9,2,2,16,2,7,28,46,18,50,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Harman,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kingston,0,4,3,2,13,0,7,26,15,7,54,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Narrabundah,0,11,0,0,7,1,10,20,34,10,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Oaks Estate,0,0,0,0,2,0,0,1,2,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pialligo,0,0,0,0,4,0,2,1,0,20,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Red Hill,0,4,0,1,10,0,5,13,9,3,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Symonston,0,4,0,1,2,0,1,2,8,17,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yarralumla,0,0,0,1,4,1,0,24,14,21,31,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weston Creek,,0,15,4,0,17,3,11,61,98,62,89,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Chapman,0,0,0,0,2,2,0,7,2,0,7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Duffy,0,2,0,0,0,0,1,7,8,1,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fisher,0,4,0,0,1,0,1,0,9,8,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Holder,0,2,0,0,2,0,2,2,15,3,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rivett,0,2,1,0,1,0,2,6,21,1,15,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stirling,0,2,1,0,2,0,0,5,9,6,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stromlo,0,0,0,0,1,0,1,9,9,17,8,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Waramanga,0,0,2,0,2,0,1,8,3,9,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Weston,0,3,0,0,6,1,3,17,22,17,30,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Molonglo,,0,4,0,3,8,0,10,24,21,29,24,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Coombs,0,3,0,2,0,0,1,3,7,7,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Denman Prospect,0,0,0,0,0,0,0,1,0,4,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Molonglo,0,0,0,0,0,0,0,0,0,4,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Wright,0,1,0,1,8,0,9,20,14,14,22,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woden,,0,48,7,9,39,4,39,110,211,202,228,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Chifley,0,3,0,0,2,0,2,5,19,19,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Curtin,0,3,0,2,2,0,4,9,25,57,14,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Farrer,0,3,0,0,1,0,0,1,4,4,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Garran,0,13,2,4,4,0,4,19,19,10,23,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hughes,0,1,0,0,3,0,2,9,8,6,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Isaacs,0,0,0,0,4,0,0,2,11,0,6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lyons,0,8,0,0,3,0,4,13,29,49,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mawson,0,5,0,1,4,0,3,12,18,5,36,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O'Malley,0,0,0,0,2,0,2,0,2,3,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pearce,0,0,0,0,4,1,2,3,5,0,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Phillip,0,11,5,2,8,3,15,37,67,48,101,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Torrens,0,1,0,0,2,0,1,0,4,1,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuggeranong,,1,171,15,21,130,17,91,260,505,221,417,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Banks,0,5,0,1,1,0,1,8,8,3,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bonython,0,10,0,4,9,5,10,3,18,16,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Calwell,0,6,0,3,6,2,5,21,22,8,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Chisholm,0,8,1,1,12,0,7,11,27,13,29,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Conder,0,10,2,0,2,2,4,17,16,6,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fadden,0,0,0,0,3,0,1,4,16,7,8,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gilmore,0,2,0,0,10,1,7,7,7,2,9,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gordon,1,17,2,1,3,1,10,17,23,4,22,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gowrie,0,3,0,0,7,0,5,4,24,10,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Greenway,0,29,5,4,7,2,7,42,74,25,94,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Isabella Plains,0,5,0,0,6,0,0,5,16,9,17,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kambah,0,25,4,0,38,2,16,51,123,50,78,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Macarthur,0,3,0,0,1,0,0,1,0,3,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Monash,0,7,0,1,5,0,0,12,8,9,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Oxley,0,3,0,0,1,0,2,2,4,8,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Richardson,0,14,0,2,3,0,2,15,28,15,16,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Theodore,0,9,1,4,0,0,3,5,7,2,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Wanniassa,0,15,0,0,16,2,11,35,84,31,66,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miscellaneous,,0,6,1,0,2,0,4,9,18,25,6,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Coree/Uriarra,0,0,0,0,0,0,0,1,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hume,0,6,1,0,2,0,4,5,16,21,4,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tharwa,0,0,0,0,0,0,0,3,1,1,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Williamsdale,0,0,0,0,0,0,0,0,1,2,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
